class,surface_water_reads,sediment_reads,surface_water_percent,sediment_percent,source
Gammaproteobacteria,2310,2012,52.57168866636322,25.087281795511224,"Afelele project report, Fig. 4.2 and Appendix Table 1, pp. 56 and 84-85"
Betaproteobacteria,1870,4021,42.55803368229404,50.13715710723192,"Afelele project report, Fig. 4.2 and Appendix Table 1, pp. 56 and 84-85"
Alphaproteobacteria,181,1709,4.119253527537551,21.30922693266833,"Afelele project report, Fig. 4.2 and Appendix Table 1, pp. 56 and 84-85"
Deltaproteobacteria,24,212,0.5461993627674101,2.6433915211970076,"Afelele project report, Fig. 4.2 and Appendix Table 1, pp. 56 and 84-85"
Epsilonproteobacteria,9,66,0.20482476103777877,0.8229426433915212,"Afelele project report, Fig. 4.2 and Appendix Table 1, pp. 56 and 84-85"
