species,surface_water_reads,sediment_reads,source
Comamonas testosteroni,250.0,208,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Serratia marcescens,194.0,0,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Pseudomonas resinovorans,147.0,0,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Acinetobacter baumannii,124.0,251,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Brevundimonas subvibrioides,0.0,338,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Pseudomonas aeruginosa,,276,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
Stenotrophomonas maltophilia,,180,"Afelele project report, Fig. 4.6 narrative, pp. 63-64"
